,light_level,occupancy,desired_light_level
0,0.1,0,0.6
1,0.6,1,0.3
2,0.7,1,0.9
3,0.7,1,0.1
4,0.4,0,0.1
5,0.1,0,0.1
6,0.3,1,0.9
7,0.6,1,0.1
8,0.4,0,1.0
9,0.9,0,1.0
10,0.5,0,1.0
11,0.8,1,0.9
12,0.3,0,0.8
13,0.8,0,0.2
14,0.7,0,0.5
15,0.7,0,0.3
16,0.4,0,0.3
17,0.8,1,0.3
18,0.7,1,0.3
19,0.2,0,1.0
20,0.9,0,1.0
21,0.3,0,1.0
22,0.2,0,0.9
23,0.6,1,0.2
24,0.7,0,0.2
25,0.8,0,0.2
26,0.1,1,0.2
27,0.9,0,0.2
28,0.4,1,0.1
29,0.5,0,0.5
30,0.1,1,0.3
31,0.9,1,0.9
32,0.5,0,0.1
33,0.3,0,0.6
34,0.5,0,0.8
35,0.5,0,0.2
36,0.1,1,0.2
37,0.9,1,0.9
38,0.5,1,0.9
39,0.1,0,0.9
40,0.3,1,0.8
41,0.9,0,0.8
42,0.2,0,0.1
43,0.2,0,0.6
44,0.4,0,0.6
45,0.2,1,1.0
46,0.8,1,0.9
47,0.1,1,0.8
48,0.8,1,1.0
49,0.8,1,0.7
50,0.7,0,0.7
51,0.2,0,0.8
52,0.7,0,0.8
53,0.2,0,0.3
54,0.6,1,0.2
55,0.3,0,0.3
56,0.6,0,1.0
57,0.7,1,0.9
58,0.4,1,0.5
59,0.4,0,1.0
60,0.2,1,1.0
61,0.9,0,1.0
62,0.6,0,0.9
63,0.7,0,0.9
64,0.9,1,0.9
65,0.4,1,0.1
66,0.3,0,0.1
67,0.7,1,1.0
68,0.6,1,1.0
69,0.6,1,0.9
70,0.1,0,1.0
71,0.4,0,1.0
72,0.6,0,0.1
73,0.3,0,0.2
74,0.3,1,0.5
75,0.4,0,0.5
76,0.3,1,0.9
77,0.2,0,0.9
78,0.4,1,0.9
79,0.8,1,0.9
80,0.1,0,0.1
81,0.2,1,0.2
82,0.9,1,0.1
83,0.2,0,0.7
84,0.7,1,1.0
85,0.1,0,1.0
86,0.2,1,1.0
87,0.8,1,0.2
88,0.1,1,0.2
89,0.7,0,0.6
90,0.5,1,0.7
91,0.7,0,0.5
92,0.3,0,0.5
93,0.1,0,0.5
94,0.7,0,0.1
95,0.8,0,0.1
96,0.3,0,1.0
97,0.7,1,1.0
98,0.1,0,0.2
99,0.8,0,0.5
100,0.3,0,0.9
101,0.5,1,0.7
102,0.9,0,0.7
103,0.3,0,0.5
104,0.7,1,0.8
105,0.4,1,0.2
106,0.5,1,0.2
107,0.5,0,1.0
108,0.3,0,1.0
109,0.6,1,0.8
110,0.4,0,0.8
111,0.6,0,0.8
112,0.3,1,0.9
113,0.1,0,0.6
114,0.7,0,0.6
115,0.9,0,0.3
116,0.4,1,0.3
117,0.5,1,0.1
118,0.3,1,0.5
119,0.3,1,0.5
120,0.9,0,0.2
121,0.4,0,1.0
122,0.4,0,0.8
123,0.8,0,0.8
124,0.7,0,0.9
125,0.4,1,0.2
126,0.3,1,0.2
127,0.4,0,0.8
128,0.8,1,0.8
129,0.1,1,0.2
130,0.8,0,0.2
131,0.1,1,0.7
132,0.2,1,0.7
133,0.1,0,0.6
134,0.3,1,0.6
135,0.5,1,0.3
136,0.7,1,0.3
137,0.5,0,0.5
138,0.9,1,1.0
139,0.3,1,0.7
140,0.9,1,0.9
141,0.5,1,0.9
142,0.4,1,0.6
143,0.7,1,0.6
144,0.3,1,0.9
145,0.8,1,0.6
146,0.8,0,1.0
147,0.3,0,0.7
148,0.8,1,0.2
149,0.6,0,0.2
150,0.4,1,0.2
151,0.3,0,0.6
152,0.5,1,0.6
153,0.7,1,0.6
154,0.3,1,0.6
155,0.6,1,0.2
156,0.4,0,0.9
157,0.6,1,1.0
158,0.2,0,0.9
159,0.3,1,0.9
160,0.4,1,0.9
161,0.6,1,1.0
162,0.3,0,0.7
163,0.6,1,0.9
164,0.8,1,0.5
165,0.4,1,0.8
166,0.2,1,0.2
167,0.8,0,0.7
168,0.6,0,0.9
169,0.4,0,0.9
170,0.6,1,1.0
171,0.7,0,1.0
172,0.5,1,1.0
173,0.5,1,0.9
174,0.4,1,0.7
175,0.9,1,0.1
176,0.2,0,0.6
177,0.9,1,0.6
178,0.7,0,0.6
179,0.1,0,0.6
180,0.5,0,0.9
181,0.7,1,0.9
182,0.8,1,0.5
183,0.5,1,0.2
184,0.8,1,0.2
185,0.8,1,0.2
186,0.9,0,0.9
187,0.8,0,1.0
188,0.2,1,1.0
189,0.1,0,1.0
190,0.5,1,0.9
191,0.4,1,0.7
192,0.3,0,0.7
193,0.6,1,0.7
194,0.3,1,0.7
195,0.6,0,1.0
196,0.7,1,1.0
197,0.3,0,0.9
198,0.8,0,0.9
199,0.3,0,0.9
200,0.4,1,0.9
201,0.9,1,0.6
202,0.2,1,0.5
203,0.5,1,0.5
204,0.3,0,0.3
205,0.7,1,0.3
206,0.8,0,0.8
207,0.3,1,0.8
208,0.1,1,0.8
209,0.8,1,0.8
210,0.3,0,1.0
211,0.3,1,0.7
212,0.1,0,0.9
213,0.3,1,1.0
214,0.8,1,1.0
215,0.7,0,0.6
216,0.8,0,0.6
217,0.2,0,0.8
218,0.7,0,1.0
219,0.3,0,1.0
220,0.2,1,1.0
221,0.4,0,1.0
222,0.1,0,0.3
223,0.4,1,1.0
224,0.4,1,1.0
225,0.1,0,1.0
226,0.9,0,0.9
227,0.9,0,0.1
228,0.5,0,0.1
229,0.6,0,0.7
230,0.1,1,0.3
231,0.2,0,0.6
232,0.7,1,0.1
233,0.2,0,0.1
234,0.1,1,0.3
235,0.1,1,0.7
236,0.8,0,0.7
237,0.3,0,0.3
238,0.4,1,1.0
239,0.2,1,1.0
240,0.7,0,0.5
241,0.1,1,0.5
242,0.6,1,1.0
243,0.4,1,0.9
244,0.1,0,0.7
245,0.4,0,0.7
246,0.6,1,1.0
247,0.1,0,0.9
248,0.1,0,0.7
249,0.5,0,0.3
250,0.2,1,0.9
251,0.5,0,0.8
252,0.4,1,0.8
253,0.2,1,1.0
254,0.5,1,1.0
255,0.9,1,0.2
256,0.9,1,0.5
257,0.1,1,0.1
258,0.6,0,0.1
259,0.9,0,0.1
260,0.6,1,0.9
261,0.6,0,0.5
262,0.4,1,0.9
263,0.1,0,1.0
264,0.3,0,0.9
265,0.6,1,1.0
266,0.2,1,0.5
267,0.3,1,0.7
268,0.2,0,0.7
269,0.8,0,0.9
270,0.4,1,1.0
271,0.9,0,1.0
272,0.9,1,0.5
273,0.5,1,0.3
274,0.2,1,1.0
275,0.9,1,1.0
276,0.8,0,1.0
277,0.8,1,0.7
278,0.7,0,0.7
279,0.3,1,1.0
280,0.7,0,0.2
281,0.5,0,0.1
282,0.6,1,0.6
283,0.1,1,0.6
284,0.2,0,1.0
285,0.4,0,1.0
286,0.6,0,1.0
287,0.7,1,0.8
288,0.9,1,0.5
289,0.1,0,0.2
290,0.4,1,0.9
291,0.5,1,0.2
292,0.7,0,0.2
293,0.1,0,1.0
294,0.8,0,0.9
295,0.7,1,0.9
296,0.9,0,1.0
297,0.1,1,0.8
298,0.9,1,0.8
299,0.9,0,0.8
300,0.9,1,0.2
301,0.7,0,0.6
302,0.1,1,0.9
303,0.3,1,0.9
304,0.8,1,0.9
305,0.7,0,1.0
306,0.2,1,0.2
307,0.1,1,0.2
308,0.1,0,1.0
309,0.3,1,0.5
310,0.3,0,0.9
311,0.1,0,0.9
312,0.4,0,0.9
313,0.9,0,0.2
314,0.1,1,0.2
315,0.2,0,0.3
316,0.7,1,1.0
317,0.9,0,0.9
318,0.5,1,0.2
319,0.4,1,0.2
320,0.4,0,1.0
321,0.4,1,0.2
322,0.3,0,0.1
323,0.4,1,0.1
324,0.3,1,1.0
325,0.1,0,0.3
326,0.4,0,0.5
327,0.3,0,0.5
328,0.7,0,0.9
329,0.4,1,1.0
330,0.7,1,0.7
331,0.2,1,0.7
332,0.7,1,0.9
333,0.5,0,0.3
334,0.9,0,0.3
335,0.5,0,0.1
336,0.5,0,0.1
337,0.1,1,0.1
338,0.1,1,0.7
339,0.8,1,0.9
340,0.2,1,0.9
341,0.6,0,1.0
342,0.9,1,0.2
343,0.5,0,0.3
344,0.5,0,1.0
345,0.3,0,0.3
346,0.6,0,0.9
347,0.3,1,0.9
348,0.7,1,1.0
349,0.5,0,1.0
350,0.7,1,0.1
351,0.5,0,1.0
352,0.3,0,0.8
353,0.5,1,0.9
354,0.1,0,0.9
355,0.5,0,0.6
356,0.9,1,1.0
357,0.4,1,1.0
